Name;Este;Norte
Mocce A2;-79,88358528;-6,683715341
Mocce A2;-79,88389426;-6,683824684
Mocce A2;-79,8841449;-6,683911401
Mocce A2;-79,88435308;-6,683933888
Mocce A2;-79,88420452;-6,682894763
Mocce A2;-79,88407311;-6,681934059
Mocce A2;-79,88618518;-6,683614458
Mocce B;-79,89791136;-6,691304953
Mocce B;-79,89881117;-6,691590291
Mocce B;-79,89885727;-6,691113801
Mocce B;-79,89879739;-6,690788282
Mocce B;-79,89863076;-6,689929649
Mocce B;-79,89829583;-6,688813003
Mocce B;-79,8982123;-6,688656023
Mocce B;-79,89811281;-6,688515091
Mocce B;-79,89771586;-6,688078545
Mocce B;-79,8974115;-6,687857565
Mocce B;-79,89709028;-6,687728489
Mocce B;-79,89648937;-6,687615403
Mocce B;-79,89566564;-6,687459787
Mocce B;-79,89545018;-6,687476941
Mocce B;-79,89503736;-6,687614026
Mocce B;-79,89463304;-6,687860167
Mocce B;-79,89403522;-6,688036409
Mocce B;-79,89320674;-6,688182912
Mocce B;-79,89306651;-6,688272316
Mocce B;-79,89294919;-6,688345235
Mocce B;-79,89279563;-6,688429284
Mocce B;-79,89270919;-6,688438034
Mocce B;-79,89262771;-6,688440947
Mocce B;-79,89148278;-6,688351187
Mocce B;-79,89131071;-6,688344201
Mocce B;-79,8912539;-6,688352417
Mocce B;-79,89112466;-6,688445201
Mocce B;-79,89094533;-6,688299795
Mocce B;-79,89144551;-6,687642141
Mocce B;-79,89093611;-6,687323316
Mocce B;-79,89070204;-6,687336846
Mocce B;-79,89055615;-6,687321744
Mocce B;-79,89037424;-6,687245435
Mocce B;-79,89009771;-6,687048633
Mocce B;-79,88975531;-6,686938642
Mocce B;-79,88936049;-6,686843901
Mocce B;-79,88908262;-6,68680868
Mocce B;-79,88869806;-6,686777946
Mocce B;-79,88793689;-6,686742215
Mocce B;-79,88722312;-6,686798959
Mocce B;-79,88710835;-6,686802683
Mocce B;-79,88707832;-6,687192353
Mocce B;-79,88621118;-6,687077153
Mocce B;-79,88614596;-6,687763606
Mocce B;-79,8861613;-6,687888637
Mocce B;-79,88636234;-6,689720537
Mocce B;-79,8866226;-6,689891556
Mocce B;-79,88678115;-6,689955807
Mocce B;-79,88699577;-6,690009132
Mocce B;-79,89029807;-6,690066079
Mocce B;-79,8904566;-6,691978618
Mocce B;-79,89048965;-6,69229098
Mocce B;-79,89056538;-6,69248299
Mocce B;-79,89183761;-6,69226225
Mocce B;-79,8922811;-6,692253241
Mocce B;-79,89256126;-6,692287454
Mocce B;-79,89334599;-6,692475995
Mocce B;-79,89336834;-6,692810674
Mocce B;-79,89302679;-6,692805722
Mocce B;-79,89292756;-6,692865802
Mocce B;-79,89282917;-6,692977353
Mocce B;-79,89270352;-6,693186918
Mocce B;-79,8927;-6,693475507
Mocce B;-79,89270707;-6,694024292
Mocce B;-79,89274153;-6,695165204
Mocce B;-79,89334859;-6,695146853
Mocce B;-79,89345943;-6,697172913
Mocce B;-79,89411122;-6,697164974
Mocce B;-79,89425545;-6,698053617
Mocce B;-79,89474383;-6,698012838
Mocce B;-79,89503876;-6,69794949
Mocce B;-79,89535129;-6,697838708
Mocce B;-79,89541083;-6,697789066
Mocce B;-79,8953085;-6,695384075
Mocce B;-79,89531814;-6,695051729
Mocce B;-79,89533895;-6,694903254
Mocce B;-79,89554658;-6,694732653
Mocce B;-79,89592974;-6,694474466
Mocce B;-79,89617448;-6,694273409
Mocce B;-79,89628855;-6,694104957
Mocce B;-79,89666769;-6,693792173
Mocce B;-79,89680042;-6,693721448
Mocce B;-79,89729572;-6,693579799
Mocce B;-79,89745035;-6,693577752
Mocce B;-79,89757142;-6,693597167
Mocce B;-79,89789884;-6,693763618
Mocce B;-79,89815478;-6,693838973
Mocce B;-79,89823556;-6,69383736
Mocce B;-79,89830499;-6,693830336
Mocce B;-79,89837143;-6,69382211
Mocce B;-79,89847141;-6,693798404
Mocce B;-79,8986013;-6,693783177
Mocce B;-79,8987737;-6,693779608
Mocce B;-79,89892188;-6,693820142
Mocce B;-79,89933897;-6,694029268
Mocce B;-79,89981562;-6,69414173
Mocce B;-79,90100807;-6,694515495
Mocce B;-79,90097195;-6,694279542
Mocce B;-79,90090558;-6,694068097
Mocce B;-79,90075551;-6,693745161
Mocce B;-79,9005571;-6,693435585
Mocce B;-79,90028498;-6,693106507
Mocce B;-79,90007759;-6,692837511
Mocce B;-79,89978552;-6,692616067
Mocce B;-79,89952771;-6,692420097
Mocce B;-79,89919759;-6,692218221
Mocce B;-79,89871379;-6,692005446
Mocce B;-79,89815282;-6,691773199
Mocce B;-79,89777723;-6,691665108
Mocce B;-79,89791136;-6,691304953
Peredo;-79,75799506;-6,758405954
Peredo;-79,75773157;-6,758606314
Peredo;-79,7574813;-6,75842098
Peredo;-79,75738843;-6,758352207
Peredo;-79,7570538;-6,758306134
Peredo;-79,75698292;-6,758324586
Peredo;-79,7569334;-6,75833748
Peredo;-79,75681528;-6,757993273
Peredo;-79,75680139;-6,757952774
Peredo;-79,75559293;-6,75830108
Peredo;-79,75484475;-6,75891548
Peredo;-79,75480802;-6,759123397
Peredo;-79,75483902;-6,759623612
Peredo;-79,75484278;-6,759684212
Peredo;-79,75366714;-6,75949128
Peredo;-79,75360373;-6,759511271
Peredo;-79,75346795;-6,759554078
Peredo;-79,75329559;-6,759734516
Peredo;-79,7532681;-6,759870105
Peredo;-79,75329932;-6,76004202
Peredo;-79,75333055;-6,760213935
Peredo;-79,75328476;-6,760430873
Peredo;-79,75269746;-6,760852385
Peredo;-79,75270098;-6,760862335
Peredo;-79,75274079;-6,761000628
Peredo;-79,75280877;-6,761233193
Peredo;-79,75296273;-6,761759906
Peredo;-79,75300103;-6,761890949
Peredo;-79,75411598;-6,765705309
Peredo;-79,75450687;-6,767042545
Peredo;-79,75447982;-6,767041123
Peredo;-79,75451233;-6,767154033
Peredo;-79,75445595;-6,767155259
Peredo;-79,75446588;-6,767260438
Peredo;-79,75448714;-6,767262891
Peredo;-79,75453966;-6,767268796
Peredo;-79,75457343;-6,767272592
Peredo;-79,75607735;-6,767441655
Peredo;-79,75908987;-6,767788449
Peredo;-79,75909274;-6,767788773
Peredo;-79,76499006;-6,768492175
Peredo;-79,76499611;-6,768492897
Peredo;-79,76871696;-6,768936666
Peredo;-79,76871503;-6,768788927
Peredo;-79,76869387;-6,768599248
Peredo;-79,76860914;-6,767794606
Peredo;-79,76851181;-6,767560518
Peredo;-79,76844602;-6,767500907
Peredo;-79,76741714;-6,767593421
Peredo;-79,767388;-6,767596042
Peredo;-79,76734749;-6,767597903
Peredo;-79,76732783;-6,767591354
Peredo;-79,76724599;-6,767563353
Peredo;-79,76714665;-6,767507163
Peredo;-79,76713598;-6,767501129
Peredo;-79,76663356;-6,766990382
Peredo;-79,7661298;-6,766478284
Peredo;-79,76604389;-6,766440055
Peredo;-79,76600143;-6,766212524
Peredo;-79,76603024;-6,766194343
Peredo;-79,76615221;-6,766117364
Peredo;-79,76625258;-6,766045288
Peredo;-79,76631519;-6,765978683
Peredo;-79,76645905;-6,765822793
Peredo;-79,76650481;-6,765755212
Peredo;-79,76660807;-6,765599045
Peredo;-79,76675029;-6,765243211
Peredo;-79,76683808;-6,764467258
Peredo;-79,76683824;-6,764465526
Peredo;-79,76677753;-6,763666143
Peredo;-79,76677684;-6,763656958
Peredo;-79,76659594;-6,763019738
Peredo;-79,76630538;-6,762540899
Peredo;-79,76630095;-6,762533593
Peredo;-79,7662051;-6,762145796
Peredo;-79,7661448;-6,761901814
Peredo;-79,7660598;-6,761563537
Peredo;-79,76599226;-6,761317881
Peredo;-79,76582188;-6,761338287
Peredo;-79,76555081;-6,761370751
Peredo;-79,76554161;-6,761329129
Peredo;-79,76541256;-6,76074514
Peredo;-79,76482333;-6,76092526
Peredo;-79,76433654;-6,761078844
Peredo;-79,76442334;-6,761425117
Peredo;-79,76423395;-6,761429655
Peredo;-79,7640795;-6,761436162
Peredo;-79,76404305;-6,76143423
Peredo;-79,76393859;-6,761428692
Peredo;-79,76387271;-6,761320263
Peredo;-79,76378952;-6,761087941
Peredo;-79,76370754;-6,76084964
Peredo;-79,76367072;-6,760737079
Peredo;-79,76357317;-6,76052737
Peredo;-79,76342539;-6,760404225
Peredo;-79,76325557;-6,76028002
Peredo;-79,76309212;-6,760136804
Peredo;-79,76287456;-6,759837711
Peredo;-79,76269188;-6,759325497
Peredo;-79,76250707;-6,758588921
Peredo;-79,76251201;-6,758388006
Peredo;-79,7625169;-6,758189302
Peredo;-79,7626854;-6,757686124
Peredo;-79,76269975;-6,75757211
Peredo;-79,76271429;-6,757432706
Peredo;-79,76269631;-6,75732139
Peredo;-79,76268023;-6,757242657
Peredo;-79,76250477;-6,757012158
Peredo;-79,76247581;-6,756974111
Peredo;-79,76237735;-6,756849823
Peredo;-79,76234215;-6,756786872
Peredo;-79,76234064;-6,75677905
Peredo;-79,76233563;-6,756770271
Peredo;-79,7622493;-6,756325505
Peredo;-79,76215245;-6,756353802
Peredo;-79,76113964;-6,756656449
Peredo;-79,76128148;-6,75725876
Peredo;-79,76115443;-6,757412184
Peredo;-79,76089287;-6,757459917
Peredo;-79,76018069;-6,757589882
Peredo;-79,75944373;-6,757724369
