Textbox72,Textbox36,Textbox7,UTC_DateTime,EventName,Textbox3,Textbox5,Altitude,Address2
Unit: ACZ-912,Level (Gals),Change,5/09/2025 19:37,Fuel Dropping,"151,13","56,13","-95,00","Av Las Torres-29, Lurigancho, Lima, Lima [Province], Perú"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 19:40,Fuel Raising,"56,13","64,84","8,71","Av Las Torres-83, Lurigancho, Lima, Lima [Province] Lma"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 19:46,Fuel Raising,"71,63","124,87","53,24","Av Autopista Ramiro Priale-95, El Agustino, Lima, Lima [Province] Lma"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 19:49,Fuel Dropping,"124,87","60,30","-64,57","Av Autopista Ramiro Priale-78, El Agustino, Lima, Lima [Province] Lma"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 19:55,Fuel Raising,"53,72","87,34","33,62","Av Evitamiento-74, El Agustino, Lima, Lima [Province] Lma"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 19:58,Fuel Dropping,"87,34","53,95","-33,39","Av 9 De Octubre, San Juan De Lurigancho, Lima, Lima [Province] Lma"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 20:01,Fuel Raising,"53,95","103,19","49,24","Av Evitamiento-43, San Martin De Porres, Lima, Lima [Province] Lma"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 20:04,Fuel Raising,"103,19","148,46","45,27","Av Lateral, Lima (cercado), Lima, Lima [Province], Perú"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 20:07,Fuel Dropping,"148,46","54,10","-94,35","Av Malecon Rimac, Lima (cercado), Lima, Lima [Province], Perú"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 20:10,Fuel Raising,"54,10","150,12","96,02","Salida-63, Rimac, Lima, Lima [Province], Perú"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 20:13,Fuel Dropping,"150,12","79,61","-70,51","Av Malecon Rimac, Lima (cercado), Lima, Lima [Province], Perú"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 20:19,Fuel Dropping,"74,31","54,79","-19,52","Av Puente Huanuco-46, Rimac, Lima, Lima [Province] Lma"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 20:22,Fuel Raising,"54,79","150,69","95,90","Av Evitamiento-20, San Martin De Porres, Lima, Lima [Province], Perú"
