,Created,Message,Status
7790,2025-06-03 19:26:38.873,"11000001,5,4764434670,1,1,1,4,7782,1748978798,1748978782,11.0011635,-74.7848845,0,422,96,4,00100000,101,-53,11110010,29,OFF,1101000,00000000,0,5,36,fs:3:0x0CB4C61B31FF41EC3EFF411705003F3203015525009796000002000399AA31024D5F3E02|",0x83054764434670010101041E66683F4C6E683F4C5E068EA4F3D36CBB7300000000000001A6006004040065FFCB4F1D1600000500240CB4C61B31FF41EC3EFF411705003F3203015525009796000002000399AA31024D5F3E02
7791,2025-06-03 19:26:41.322,"11000001,5,4764434670,1,1,1,4,7783,1748978801,1748978782,11.0011635,-74.7848845,0,422,96,4,00100000,101,-53,11110010,29,OFF,1101000,00000000,0,5,36,fs:3:0x4D0783310260813E026000022B2185DA0008DE3102701C310206393E0206326C0CC1C6D4|",0x83054764434670010101041E67683F4C71683F4C5E068EA4F3D36CBB7300000000000001A6006004040065FFCB4F1D1600000500244D0783310260813E026000022B2185DA0008DE3102701C310206393E0206326C0CC1C6D4
7792,2025-06-03 19:26:49.455,"11000001,5,4764434670,1,1,1,4,7784,1748978808,1748978808,11.001683,-74.7855651,0,50,107,3,00001000,101,-53,11110010,64,OFF,1101000,00000000,0,5,36,fs:3:0x310206393E0206326C0CC9C6A2310206393E0206326D0CD1C6B7310206393E0206326D0C|",0x83054764434670010101041E68683F4C78683F4C78068EB93ED36CA0DD0000000000000032006B03100065FFCB4F40160000050024310206393E0206326C0CC9C6A2310206393E0206326D0CD1C6B7310206393E0206326D0C
7793,2025-06-03 19:26:56.977,"11000001,5,4764434670,1,1,1,4,7785,1748978816,1748978815,11.0017025,-74.7858656,0,97,107,4,00100000,101,-51,11110010,48,OFF,1101000,00000000,0,5,36,fs:3:0xD8C605310206393E0206326E0CE1C612310206393E0206326E0CE8C6A0310206393E0206|",0x83054764434670010101041E69683F4C80683F4C7F068EBA01D36C95200000000000000061006B04040065FFCD4F30160000050024D8C605310206393E0206326E0CE1C612310206393E0206326E0CE8C6A0310206393E0206
7794,2025-06-03 19:27:04.493,"11000001,5,4764434670,1,1,1,4,7786,1748978823,1748978823,11.0017143,-74.7858696,0,150,107,4,00000000,101,-51,11110010,48,OFF,1101000,00000000,0,5,36,fs:3:0x326F0CF0C6B5310206393E0206326F0CF8C6C3310206393E020632700C00C7D031020639|",0x83054764434670010101041E6A683F4C87683F4C87068EBA77D36C94F80000000000000096006B04000065FFCD4F30160000050024326F0CF0C6B5310206393E0206326F0CF8C6C3310206393E020632700C00C7D031020639
7796,2025-06-03 19:27:11.918,"11000001,5,4764434670,1,1,1,4,7788,1748978831,1748978831,11.0017048,-74.7858875,0,150,198,3,00001000,101,-53,11110010,64,OFF,1101000,00000000,0,5,36,fs:3:0x3E020632700C08C7A6310206393E020632710C10C7B3310206393E020632710C17C7DD31|",0x83054764434670010101041E6C683F4C8F683F4C8F068EBA18D36C9445000000000000009600C603100065FFCB4F401600000500243E020632700C08C7A6310206393E020632710C10C7B3310206393E020632710C17C7DD31
7797,2025-06-03 19:27:16.459,"11000001,5,4764434670,1,1,1,4,7789,1748978836,1748978836,11.0017433,-74.7858221,0,116,275,3,00001000,101,-53,11110010,64,OFF,1101000,00000000,0,5,36,fs:3:0x0206393E020632710C1FC7AB310206393E020632720C27C778310206393E020632720C2E|",0x83054764434670010101041E6D683F4C94683F4C94068EBB99D36C96D30000000000000074011303100065FFCB4F401600000500240206393E020632710C1FC7AB310206393E020632720C27C778310206393E020632720C2E
7798,2025-06-03 19:27:28.225,"11000001,5,4764434670,1,1,1,4,7790,1748978843,1748978843,11.0017535,-74.7855136,0,230,83,4,00000000,101,-53,11110010,48,OFF,1101000,00000000,0,5,36,fs:3:0xC7CA310206393E020632730C37C71B310206393E020632730C3EC7A9310206393E020632|",0x83054764434670010101041E6E683F4C9B683F4C9B068EBBFFD36CA2E000000000000000E6005304000065FFCB4F30160000050024C7CA310206393E020632730C37C71B310206393E020632730C3EC7A9310206393E020632
7799,2025-06-03 19:27:32.126,"11000001,5,4764434670,1,1,1,4,7791,1748978851,1748978851,11.0017498,-74.7855503,0,58,77,5,00000000,101,-53,11110010,22,OFF,1101000,00000000,0,5,36,fs:3:0x740C46C7EF310206393E020632740C4DC7CC310206393E020632750C55C7D9310206393E|",0x83054764434670010101041E6F683F4CA3683F4CA3068EBBDAD36CA171000000000000003A004D05000065FFCB4F16160000050024740C46C7EF310206393E020632740C4DC7CC310206393E020632750C55C7D9310206393E
7800,2025-06-03 19:27:39.456,"11000001,5,4764434670,1,1,1,4,7792,1748978858,1748978858,11.0017721,-74.7856645,0,77,77,5,00000000,101,-51,11110010,22,OFF,1101000,00000000,0,5,36,fs:3:0x020632750C5DC7AF310206393E020632760C64C7B8310206393E020632760C6BC7A03102|",0x83054764434670010101041E70683F4CAA683F4CAA068EBCB9D36C9CFB000000000000004D004D05000065FFCD4F16160000050024020632750C5DC7AF310206393E020632760C64C7B8310206393E020632760C6BC7A03102
