"Unit","Driver","Event","Lat / Long","Date / Time","Speed","Address"
"PM-03","","Driving","-12.026644 / -77.106087","Monday, September 29 2025, 07:16:59 am","10 KPH","PE-20B, Callao 07031, Peru"
"PM-03","","Driving","-12.025409 / -77.106491","Monday, September 29 2025, 07:16:19 am","18 KPH","Ruta Sin Nombre, Callao 07031, Peru"
"PM-03","","Driving","-12.025230 / -77.106636","Monday, September 29 2025, 07:16:14 am","20 KPH","Ruta Sin Nombre, Callao 07031, Peru"
"PM-03","","Driving","-12.025846 / -77.108223","Monday, September 29 2025, 07:15:18 am","17 KPH","Ruta Sin Nombre, Callao 07031, Peru"
"PM-03","","Driving","-12.026042 / -77.108742","Monday, September 29 2025, 07:15:04 am","12 KPH","Ruta Sin Nombre, Callao 07031, Peru"
"PM-03","","Driving","-12.025220 / -77.109177","Monday, September 29 2025, 07:14:38 am","13 KPH","Ruta Sin Nombre, Callao 07031, Peru"
"PM-03","","Travel Start","-12.025053 / -77.109146","Monday, September 29 2025, 07:14:32 am","10 KPH","Ruta Sin Nombre, Callao 07031, Peru"
"PM-03","","Ignition On","-12.024715 / -77.108658","Monday, September 29 2025, 07:13:19 am","","C. Corpac 150, Callao 07031, Peru"
"PM-03","","Ignition Off","-12.024715 / -77.108658","Monday, September 29 2025, 06:56:27 am","","C. Corpac 150, Callao 07031, Peru"
"PM-03","","Travel Stop","-12.024715 / -77.108658","Monday, September 29 2025, 06:56:26 am","","C. Corpac 150, Callao 07031, Peru"
"PM-03","","Travel Start","-12.025330 / -77.109406","Monday, September 29 2025, 06:55:58 am","12 KPH","Ruta Sin Nombre, Callao 07031, Peru"
"PM-03","","Ignition On","-12.024619 / -77.108437","Monday, September 29 2025, 06:32:18 am","","C. Corpac 150, Callao 07031, Peru"
"PM-03","","Ignition Off","-12.024619 / -77.108437","Monday, September 29 2025, 06:32:17 am","","C. Corpac 150, Callao 07031, Peru"
"PM-03","","Ignition On","-12.024619 / -77.108437","Monday, September 29 2025, 06:32:11 am","","C. Corpac 150, Callao 07031, Peru"
"PM-03","","Ignition Off","-12.024619 / -77.108437","Monday, September 29 2025, 04:27:02 am","","C. Corpac 150, Callao 07031, Peru"
"PM-03","","Travel Stop","-12.024619 / -77.108437","Monday, September 29 2025, 04:27:01 am","","C. Corpac 150, Callao 07031, Peru"
"PM-03","","Driving","-12.024525 / -77.108620","Monday, September 29 2025, 04:23:07 am","10 KPH","Ruta Sin Nombre, Callao 07031, Peru"
"PM-03","","Driving","-12.025130 / -77.109184","Monday, September 29 2025, 04:22:40 am","17 KPH","Ruta Sin Nombre, Callao 07031, Peru"
