Reporte Selectivo de Eventos;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;Desde:;;1/06/2025 12:00:00 a. m.;;;Hasta:;;10/06/2025 11:59:59 p. m.;;;;
;;;;;;;;;;;;;;
Unidad: LZM117;;;;;;;;;;;;;;
Fecha;Hora;Evento;;Status;;Dirección;;;;;Estado;;CP;
10/06/2025;01:45:59 PM;Desplazándose - Ign. apagada;;24 kph / NW;;Kr5cbise 93s-52, Bogota, Cundinamarca, Colombia;;;;;;;;
10/06/2025;02:03:02 PM;Desplazándose - Ign. apagada;;10 kph / N;;Kr5e 93s-57, Bogota, Cundinamarca;;;;;Cun;;;
** Fin de esta Unidad;;;;;;;;;;;;;;
Unidad: PMW840;;;;;;;;;;;;;;
Fecha;Hora;Evento;;Status;;Dirección;;;;;Estado;;CP;
1/06/2025;08:29:51 AM;Desplazándose - Ign. apagada;;11 kph / E;;Kr82a 6-28, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;08:33:52 AM;Desplazándose - Ign. apagada;;11 kph / W;;Cl6b 81b-65, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;08:41:49 AM;Desplazándose - Ign. apagada;;10 kph / SE;;Kr82a 6-28, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;03:34:33 PM;Desplazándose - Ign. apagada;;14 kph / E;;Cl6b 81b-57, Bogota, Cundinamarca;;;;;Cun;;;
2/06/2025;08:23:56 AM;Desplazándose - Ign. apagada;;11 kph / W;;Calle 6b #81b-7 a 81b-99, Bogotá, Bogotá, Colombia;;;;;Bogotá;;110821;
3/06/2025;08:54:15 AM;Desplazándose - Ign. apagada;;11 kph / W;;Kr82a 6-27, Bogota, Cundinamarca;;;;;Cun;;;
3/06/2025;09:01:16 AM;Desplazándose - Ign. apagada;;18 kph / E;;Kr82a 6-27, Bogota, Cundinamarca;;;;;Cun;;;
3/06/2025;09:01:40 AM;Desplazándose - Ign. apagada;;13 kph / W;;Cl6b 81b-58, Bogota, Cundinamarca;;;;;Cun;;;
4/06/2025;06:08:32 AM;Desplazándose - Ign. apagada;;11 kph / SE;;Kr82a 6-24, Bogota, Cundinamarca;;;;;Cun;;;
4/06/2025;06:19:25 AM;Desplazándose - Ign. apagada;;14 kph / SE;;Cl. 6b #81b-51 of 1030, Bogotá, Colombia;;;;;Bogotá;;110821;
4/06/2025;07:50:56 AM;Desplazándose - Ign. apagada;;10 kph / W;;Cl6b 81b-61, Bogota, Cundinamarca;;;;;Cun;;;
5/06/2025;08:08:37 AM;Desplazándose - Ign. apagada;;23 kph / NW;;Cl6b 81b-65, Bogota, Cundinamarca;;;;;Cun;;;
