Geofence;Geofence Type;Created On
Parq Los Dagueños;Polygonal;2019-08-13 07:45:59.120
Parq Mejia;Polygonal;2012-02-29 16:31:39.293
parq Mejia;Polygonal;2012-09-16 13:32:01.273
Parq Soberano;Polygonal;2012-03-15 08:18:13.740
Parq Unicentro Palmira;Polygonal;2013-11-11 14:58:45.577
Parq Versalles;Polygonal;2012-03-16 07:15:43.850
Parq ZNK193;Polygonal;2013-11-11 15:02:34.087
Parque America ZF Cartagena;Polygonal;2019-08-16 14:51:48.760
PARQUEADERO CHIMINANGOS PALMIRA;Circular;2021-07-14 15:17:59.577
Parqueadero El Condor;Polygonal;2012-11-30 18:06:17.837
Parqueadero Los Mangos;Polygonal;2013-11-13 12:29:36.440
parqueadero los Mangos;Polygonal;2012-04-20 16:10:03.067
Parqueadero MOnterrey;Polygonal;2012-09-27 08:23:37.773
Parqueadero Yumbo 2011;Polygonal;2020-11-20 10:34:17.153
paso calle 20 Santander sin pago finca;Linear;2023-06-16 17:33:49.763
PEAJE CARIMAGUA;Polygonal;2021-05-03 17:23:11.907
PEAJE CENCAR;Polygonal;2021-05-04 10:08:20.750
PEAJE CERRITOS RISARALDA;Polygonal;2021-05-03 12:03:32.077
PEAJE CHINAUTA;Polygonal;2021-05-03 11:42:48.350
PEAJE CIAT;Polygonal;2021-05-03 12:24:34.580
PEAJE COROZAL;Polygonal;2021-05-03 11:51:22.320
PEAJE CORRALITO;Polygonal;2021-05-03 17:29:33.663
PEAJE DE CHUSACA;Polygonal;2021-05-03 11:33:03.270
PEAJE DE LA APARTADA;Polygonal;2021-05-03 17:21:20.697
PEAJE DE LA URIBE;Polygonal;2012-04-11 22:30:32.730
PEAJE DE LOS LLANOS;Polygonal;2021-05-03 17:15:48.813
PEAJE DE MEDIACANOA;Polygonal;2021-05-03 12:30:07.003
PEAJE DE MORRISON;Polygonal;2021-05-03 15:34:09.923
PEAJE DE NIQUIA;Polygonal;2021-05-03 16:57:46.297
PEAJE DE PAILITAS;Polygonal;2021-05-03 15:46:59.530
peaje de villarica;Polygonal;2021-05-03 12:19:43.873
PEAJE EL CERRITO;Polygonal;2021-05-03 11:54:43.250
PEAJE EL COPEY;Polygonal;2021-05-03 16:08:07.643
PEAJE EL TRAPICHE;Polygonal;2021-05-03 17:05:49.900
PEAJE ESTAMBUL;Polygonal;2021-05-03 12:22:25.377
PEAJE GUALANDAY;Polygonal;2021-05-03 11:46:09.980
PEAJE HONDA MARIQUITA;Polygonal;2021-05-03 12:45:10.113
PEAJE LA ESPERANZA;Polygonal;2021-05-03 17:25:18.800
PEAJE LA GOMEZ;Polygonal;2021-05-03 15:30:32.393
PEAJE LA LOMA;Polygonal;2021-05-03 15:59:37.697
PEAJE LAUREANO GOMEZ;Polygonal;2021-05-03 16:39:53.580
PEAJE LOBOGUERRERO;Polygonal;2021-05-03 12:32:47.110
PEAJE MAMONAL;Polygonal;2021-05-03 17:31:19.600
PEAJE MARUACOS;Polygonal;2021-05-04 10:02:25.390
PEAJE NUEVO LA LIZAMA;Polygonal;2021-05-03 15:13:02.600
PEAJE PAN DE QUESO;Polygonal;2021-05-03 17:11:17.627
PEAJE PAPIROS;Polygonal;2021-05-04 09:56:01.067
PEAJE PUERTO COLOMBIA;Polygonal;2021-05-04 09:59:50.847
PEAJE RIO BOGOTA;Polygonal;2021-05-03 11:44:10.527
peaje rio sogamoso;Polygonal;2012-09-12 16:58:36.513
PEAJE SAN ONOFRE;Polygonal;2021-05-03 17:27:31.563
PEAJE SAN PEDRO;Polygonal;2021-05-03 12:01:18.100
PEAJE SUPIA;Polygonal;2021-05-03 12:34:47.973
PEAJE TANIA;Polygonal;2012-04-11 21:55:48.570
PEAJE TARAPACA NORTE SUR;Polygonal;2021-05-03 12:12:04.757
PEAJE TARAPACA SENTIDO SUR NORTE;Polygonal;2021-05-03 12:10:49.577
PEAJE TARAZA;Polygonal;2021-05-03 17:18:54.670
PEAJE TASAJERA;Polygonal;2021-05-03 16:23:00.217
PEAJE TUCURINCA;Polygonal;2021-05-03 16:10:21.637
PEAJE ZAMBITO;Polygonal;2021-05-03 13:09:20.687
Peaje Zona Franca Bq;Circular;2021-05-02 16:44:21.930
perimetro urbano;Polygonal;2017-03-01 09:12:18.127
planta Postobon Piedecuesta;Polygonal;2012-09-11 11:05:50.547
Playa Rica, alquil acpm, aceite;Polygonal;2012-08-06 17:49:09.707
Portería Sucroal;Polygonal;2022-09-22 11:30:05.350
PQP Bogota;Polygonal;2012-04-11 12:19:26.873
PRODUCTORA DE ENVASES PLASTICOS;Circular;2016-07-29 16:39:44.437
PRODUCTOS DE ENVASES PLASTICOS;Circular;2016-07-29 16:43:59.553
Productos Rincon;Polygonal;2019-01-25 10:12:26.093
PROQUIM INDUSTRIAL SAS;Circular;2016-05-10 14:15:56.263
PROQUIM INDUSTRIAL SAS;Circular;2016-05-10 14:17:32.880
QuimiCauca;Polygonal;2012-03-13 11:06:44.527
Quimicol Ltda;Polygonal;2012-04-09 15:33:10.107
Quisol;Polygonal;2012-03-13 11:42:14.033
RECUBRIMIENTOS Y PLASTICOS COVERPLAST;Circular;2016-06-29 15:20:31.697
RECUBRIMIENTOS Y PLASTICOS COVERPLAST;Circular;2016-06-29 15:20:54.247
Ruta 10 Brenntag Armenia;Polygonal;2017-05-31 18:09:08.340
Ruta 10 Brenntag Pereira;Polygonal;2017-05-31 18:03:56.090
Ruta 11 Brenntag Popayán;Polygonal;2017-05-31 17:02:28.083
Ruta 12 Brenntag Manizales;Polygonal;2017-05-31 17:49:14.863
Ruta 2 Brenntag Candelaria;Polygonal;2017-06-01 10:41:55.037
Ruta 2 Brenntag Jamundí;Polygonal;2017-06-01 10:47:15.560
Ruta 2 Brenntag Palmira;Polygonal;2017-06-01 10:37:02.983
Ruta 3 Brenntag Caloto;Polygonal;2017-06-01 10:31:35.690
Ruta 3 Brenntag Puerto Tejada;Polygonal;2017-06-01 10:34:40.830
Ruta 4 Brenntag Yumbo;Polygonal;2017-06-01 11:18:31.643
Ruta 5 Brenntag Buga;Polygonal;2017-06-01 11:21:56.553
Ruta 5 Brenntag Tulua;Polygonal;2017-06-01 11:24:59.253
Ruta 6 Brenntag Bugalagrande;Polygonal;2017-06-01 09:55:38.567
Ruta 7 Brenntag La Paila;Polygonal;2017-06-01 10:03:52.510
Servisurco;Polygonal;2012-03-26 11:47:51.797
Sideco;Polygonal;2012-04-14 12:28:42.450
sitio las acacias;Polygonal;2012-09-11 09:51:06.610
Sucromiles;Polygonal;2012-03-15 11:47:57.843
Sun Chemical Tintas;Polygonal;2012-03-28 09:45:47.400
T Cepeda Fontibon;Polygonal;2012-03-15 11:43:09.430
Tall Mulas y Remolques;Polygonal;2019-02-10 13:50:09.490
taller Henry Vargas;Polygonal;2012-04-26 17:30:31.187
TARROS INSTRUMETAL;Polygonal;2018-06-27 10:54:40.373
Tauroquimica s.a.;Polygonal;2012-04-10 15:22:14.057
Unilever Cali;Polygonal;2019-08-15 06:38:28.430
VARIANTE DE TULUA;Polygonal;2012-04-11 22:08:58.683
Yolomba 1;Polygonal;2012-08-06 16:58:09.383
Yolomba 2;Polygonal;2012-08-06 17:01:06.977
Yolomba 4;Polygonal;2012-08-06 17:08:38.020
ZONA DE TARROS;Polygonal;2018-05-04 11:31:45.037
