GroupName,UnitName,StartTime,MovingTimeSecs,MilesDriven,MaxSpeed,StopTime,textbox43,StopLengthSecs,ContactName,textbox28,textbox29,textbox30,textbox32,MovingTimeSecs_1,MilesDriven_1,MaxSpeed_1,StopLengthSecs_1
,Unidad: LUL144,3/12/2025 10:41 a.m.,00h:00m:00s,"0,00",0,3/12/2025 10:41:2.m.,Denido/Ralenti,00h:22m:37s,"Parcelas de cota, parcela 20, lote 4, Cota, Cundinamarca, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,3/12/2025 10:53 a.m.,00h:00m:00s,"0,00",0,3/12/2025 10:53:1.m.,Denido/Ralenti,00h:00m:31s,"Carrera 70c #5360, Bogotá, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,3/12/2025 10:55 a.m.,00h:00m:34s,"0,18",6,3/12/2025 10:55:3.m.,Ralenti/Ign Apagada,00h:08m:58s,"Parcelas de cota, parcela 20, lote 4, Cota, Cundinamarca, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,3/12/2025 11:02 a.m.,00h:00m:00s,"0,00",0,3/12/2025 11:02:2.m.,Denido/Ralenti,00h:03m:00s,"Parcelas de cota, parcela 20, lote 4, Cota, Cundinamarca, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,3/12/2025 11:06 a.m.,00h:03m:00s,"1,87",17,3/12/2025 11:09:2.m.,Ralenti/Ign Apagada,02h:36m:41s,"Cl138b 159b, Bogota, Cundinamarca",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,3/12/2025 12:35 p.m.,00h:00m:00s,"0,00",0,3/12/2025 12:35:1.m.,Denido/Ralenti,02h:00m:03s,"Av 50, Bogota, Cundinamarca",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,3/12/2025 1:40 p.m.,00h:00m:00s,"0,00",0,3/12/2025 1:40:5.m.,Denido/Ralenti,01h:16m:34s,"Av 50, Bogota, Cundinamarca",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,3/12/2025 2:22 p.m.,00h:00m:00s,"0,00",0,3/12/2025 2:22:1.m.,Denido/Ralenti,00h:01m:03s,"Av 50, Bogota, Cundinamarca",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,3/12/2025 2:24 p.m.,00h:05m:27s,"3,64",25,3/12/2025 2:29:3.m.,Ralenti/Ign Apagada,01h:24m:14s,"Av 50, Bogota, Cundinamarca",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,3/12/2025 3:48 p.m.,00h:00m:00s,"0,00",0,3/12/2025 3:48:5.m.,Denido/Ralenti,00h:51m:48s,"El Rosal-Bogotá, Tenjo, Cundinamarca, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,3/12/2025 4:40 p.m.,00h:00m:00s,"0,00",0,3/12/2025 4:40:4.m.,Denido/Ralenti,00h:05m:00s,"El Rosal-Bogotá, Tenjo, Cundinamarca, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
